RXCUI,HCPCS,STR,TTY
204403,J1180,Dyphylline 250 MG/ML Injectable Solution,SCD
1736585,J1190,Dexrazoxane 250 MG Injection,SCD
1736590,J1190,Dexrazoxane 500 MG Injection,SCD
1049289,J1200,1 ML Diphenhydramine Hydrochloride 50 MG/ML Prefilled Syringe,SCD
1049633,J1200,Diphenhydramine Hydrochloride 50 MG/ML Injectable Solution,SCD
1094473,J1200,Diphenhydramine Hydrochloride 10 MG/ML Injectable Solution,SCD
1723740,J1200,1 ML Diphenhydramine Hydrochloride 50 MG/ML Injection,SCD
1723776,J1200,1 ML Diphenhydramine Hydrochloride 50 MG/ML Cartridge,SCD
484152,J1205,Chlorothiazide 500 MG Injection,SCD
562359,J1212,Dimethyl Sulfoxide 500 MG/ML Irrigation Solution,SCD
864714,J1230,Methadone Hydrochloride 10 MG/ML Injectable Solution,SCD
309914,J1240,Dimenhydrinate 50 MG/ML Injectable Solution,SCD
309953,J1245,10 ML Dipyridamole 5 MG/ML Injection,SCD
1812168,J1250,20 ML Dobutamine 12.5 MG/ML Injection,SCD
1812169,J1250,Dobutamine 12.5 MG/ML Injection,SCD
1812170,J1250,40 ML Dobutamine 12.5 MG/ML Injection,SCD
309984,J1250,Dobutamine 0.5 MG/ML Injectable Solution,SCD
309985,J1250,250 ML Dobutamine 1 MG/ML Injection,SCD
309986,J1250,250 ML Dobutamine 2 MG/ML Injection,SCD
309987,J1250,250 ML Dobutamine 4 MG/ML Injection,SCD
200101,J1260,dolasetron mesylate 20 MG/ML Injectable Solution,SCD
1114874,J1265,5 ML Dopamine Hydrochloride 160 MG/ML Injection,SCD
1292742,J1265,Dopamine Hydrochloride 1 MG/ML Injectable Solution,SCD
1292887,J1265,250 ML Dopamine Hydrochloride 3.2 MG/ML Injection,SCD
1743869,J1265,250 ML Dopamine Hydrochloride 0.8 MG/ML Injection,SCD
1743870,J1265,Dopamine Hydrochloride 0.8 MG/ML Injection,SCD
1743871,J1265,500 ML Dopamine Hydrochloride 0.8 MG/ML Injection,SCD
1743877,J1265,250 ML Dopamine Hydrochloride 1.6 MG/ML Injection,SCD
1743878,J1265,Dopamine Hydrochloride 1.6 MG/ML Injection,SCD
1743879,J1265,500 ML Dopamine Hydrochloride 1.6 MG/ML Injection,SCD
1743938,J1265,10 ML Dopamine Hydrochloride 40 MG/ML Injection,SCD
1743939,J1265,Dopamine Hydrochloride 40 MG/ML Injection,SCD
1743941,J1265,5 ML Dopamine Hydrochloride 40 MG/ML Injection,SCD
1743951,J1265,Dopamine Hydrochloride 80 MG/ML Injection,SCD
1743953,J1265,5 ML Dopamine Hydrochloride 80 MG/ML Injection,SCD
1039654,J1267,doripenem 250 MG Injection,SCD
744808,J1267,doripenem 500 MG Injection,SCD
1790211,J1270,Doxercalciferol 0.002 MG/ML Injection,SCD
1790219,J1270,2 ML Doxercalciferol 0.002 MG/ML Injection,SCD
884698,J1290,1 ML ecallantide 10 MG/ML Injection,SCD
700384,J1300,30 ML eculizumab 10 MG/ML Injection,SCD
1924316,J1301,100 ML edaravone 0.3 MG/ML Injection,SCD
856859,J1320,Amitriptyline Hydrochloride 10 MG/ML Injectable Solution,SCD
1490047,J1322,5 ML ELOSULFASE ALFA 1 MG/ML Injection,SCD
401981,J1324,enfuvirtide 90 MG Injection,SCD
562501,J1325,Epoprostenol 0.5 MG Injection,SCD
562502,J1325,Epoprostenol 1.5 MG Injection,SCD
1736470,J1327,10 ML eptifibatide 2 MG/ML Injection,SCD
1736473,J1327,eptifibatide 2 MG/ML Injection,SCD
1736477,J1327,100 ML eptifibatide 2 MG/ML Injection,SCD
200349,J1327,100 ML eptifibatide 0.75 MG/ML Injection,SCD
238011,J1330,Ergonovine 0.2 MG/ML Injectable Solution,SCD
1734683,J1335,ertapenem 1000 MG Injection,SCD
1668264,J1364,erythromycin lactobionate 500 MG Injection,SCD
310189,J1380,estradiol valerate 10 MG/ML Injectable Solution,SCD
310190,J1380,estradiol valerate 20 MG/ML Injectable Solution,SCD
310191,J1380,estradiol valerate 40 MG/ML Injectable Solution,SCD
310203,J1410,"Estrogens, Conjugated (USP) 25 MG Injection",SCD
1810579,J1428,eteplirsen 50 MG/ML Injection,SCD
106675,J1430,2 ML ethanolamine oleate 50 MG/ML Injection,SCD
235636,J1435,Estrone 2 MG/ML Injectable Solution,SCD
310209,J1435,Estrone 5 MG/ML Injectable Suspension,SCD
315093,J1435,Estrogens 2 MG/ML Injectable Solution,SCD
562632,J1435,Estrone 5 MG/ML Injectable Solution,SCD
904575,J1436,Etidronate Disodium 50 MG/ML Injectable Solution,SCD
253014,J1438,Etanercept 25 MG/ML Injectable Solution,SCD
582671,J1438,Etanercept 50 MG/ML Injectable Solution,SCD
809158,J1438,0.51 ML Etanercept 50 MG/ML Prefilled Syringe,SCD
1435169,J1439,15 ML ferric carboxymaltose 50 MG/ML Injection,SCD
1649944,J1442,1 ML Filgrastim 0.3 MG/ML Injection,SCD
1649963,J1442,1.6 ML Filgrastim 0.3 MG/ML Injection,SCD
1790866,J1443,ferric pyrophosphate citrate 272 MG Injection,SCD
1855508,J1443,5 ML ferric pyrophosphate citrate 5.44 MG/ML Injection,SCD
1433768,J1447,0.5 ML Tbo-filgrastim 0.6 MG/ML Prefilled Syringe,SCD
1433771,J1447,0.8 ML Tbo-filgrastim 0.6 MG/ML Prefilled Syringe,SCD
1721310,J1450,50 ML Fluconazole 2 MG/ML Injection,SCD
1721314,J1450,200 ML Fluconazole 2 MG/ML Injection,SCD
1721315,J1450,100 ML Fluconazole 2 MG/ML Injection,SCD
310414,J1451,1.5 ML fomepizole 1000 MG/ML Injection,SCD
310415,J1452,fomivirsen 6.6 MG/ML Injectable Solution,SCD
1731075,J1453,fosaprepitant 115 MG Injection,SCD
1731077,J1453,fosaprepitant 150 MG Injection,SCD
2044429,J1454,fosnetupitant 235 MG / palonosetron 0.25 MG Injection,SCD
1734380,J1455,foscarnet sodium 24 MG/ML Injection,SCD
197734,J1457,gallium nitrate 25 MG/ML Injectable Solution,SCD
578037,J1458,5 ML galsulfase 1 MG/ML Injection,SCD
1809064,J1555,"Immunoglobulin G, Human 200 MG/ML Injection",SCD
1809417,J1561,"Immunoglobulin G, Human 100 MG/ML Injection",SCD
142061,J1562,"Immunoglobulin G, Human 160 MG/ML Injectable Solution",SCD
1809206,J1566,"Immunoglobulin G, Human 3000 MG Injection",SCD
1809212,J1566,"Immunoglobulin G, Human 12000 MG Injection",SCD
1809218,J1566,"Immunoglobulin G, Human 6000 MG Injection",SCD
1809427,J1566,"10 ML Immunoglobulin G, Human 50 MG/ML Injection",SCD
1809728,J1566,"Immunoglobulin G, Human 5000 MG Injection",SCD
1809736,J1566,"Immunoglobulin G, Human 10000 MG Injection",SCD
1809745,J1566,"Immunoglobulin G, Human 2500 MG Injection",SCD
1872065,J1570,250 ML Ganciclovir 2 MG/ML Injection,SCD
1999531,J1570,10 ML Ganciclovir 50 MG/ML Injection,SCD
310442,J1570,Ganciclovir 500 MG Injection,SCD
1658147,J1571,1 ML hepatitis B immune globulin 312 UNT/ML Injection,SCD
1870631,J1580,100 ML Gentamicin 1.2 MG/ML Injection,SCD
1870633,J1580,50 ML Gentamicin 1.2 MG/ML Injection,SCD
1870650,J1580,2 ML Gentamicin 40 MG/ML Injection,SCD
1870676,J1580,2 ML Gentamicin 10 MG/ML Injection,SCD
197736,J1580,50 ML Gentamicin 2 MG/ML Injection,SCD
239204,J1580,Gentamicin 10 MG/ML Injectable Solution,SCD
242816,J1580,100 ML Gentamicin 1 MG/ML Injection,SCD
310472,J1580,Gentamicin 0.6 MG/ML Injectable Solution,SCD
310473,J1580,100 ML Gentamicin 0.8 MG/ML Injection,SCD
310474,J1580,100 ML Gentamicin 0.9 MG/ML Injection,SCD
310476,J1580,50 ML Gentamicin 1.4 MG/ML Injection,SCD
310477,J1580,50 ML Gentamicin 1.6 MG/ML Injection,SCD
313996,J1580,Gentamicin 40 MG/ML Injectable Solution,SCD
259311,J1590,gatifloxacin 2 MG/ML Injectable Solution,SCD
1111641,J1595,1 ML glatiramer acetate 20 MG/ML Prefilled Syringe,SCD
1487361,J1595,1 ML glatiramer acetate 40 MG/ML Prefilled Syringe,SCD
1809417,J1599,"Immunoglobulin G, Human 100 MG/ML Injection",SCD
1809430,J1599,"Immunoglobulin G, Human 50 MG/ML Injection",SCD
343051,J1600,Gold Sodium Thiomalate 50 MG/ML Injectable Solution,SCD
1431642,J1602,4 ML golimumab 12.5 MG/ML Injection,SCD
1482813,J1602,1 ML golimumab 100 MG/ML Prefilled Syringe,SCD
848160,J1602,0.5 ML golimumab 100 MG/ML Prefilled Syringe,SCD
310497,J1610,glucagon (rDNA) 1 MG Injection,SCD
240903,J1620,Gonadorelin 0.4 MG/ML Injectable Solution,SCD
252637,J1620,Gonadorelin 0.1 MG/ML Injectable Solution,SCD
315006,J1620,Gonadorelin 0.25 MG/ML Injectable Solution,SCD
1734399,J1626,1 ML Granisetron 1 MG/ML Injection,SCD
240912,J1626,Granisetron 1 MG/ML Injectable Solution,SCD
543218,J1626,1 ML Granisetron 0.1 MG/ML Injection,SCD
1810484,J1627,0.4 ML Granisetron 25 MG/ML Prefilled Syringe,SCD
1928686,J1628,1 ML guselkumab 100 MG/ML Prefilled Syringe,SCD
1719646,J1630,1 ML Haloperidol 5 MG/ML Injection,SCD
1876502,J1630,1 ML Haloperidol 5 MG/ML Prefilled Syringe,SCD
204416,J1630,Haloperidol 5 MG/ML Injectable Solution,SCD
1719803,J1631,1 ML haloperidol decanoate 100 MG/ML Injection,SCD
1719862,J1631,1 ML haloperidol decanoate 50 MG/ML Injection,SCD
859867,J1631,haloperidol decanoate 50 MG/ML Injectable Solution,SCD
859871,J1631,haloperidol decanoate 100 MG/ML Injectable Solution,SCD
1926452,J1640,Hemin 350 MG Injection,SCD
238657,J1640,Hemin 313 MG Injection,SCD
1361029,J1642,"heparin sodium, porcine 10 UNT/ML Injectable Solution",SCD
1361048,J1642,"heparin sodium, porcine 100 UNT/ML Injectable Solution",SCD
1362024,J1642,"1 ML heparin sodium, porcine 1 UNT/ML Prefilled Syringe",SCD
1362025,J1642,"heparin sodium, porcine 1 UNT/ML Prefilled Syringe",SCD
1362026,J1642,"10 ML heparin sodium, porcine 1 UNT/ML Prefilled Syringe",SCD
1362027,J1642,"2 ML heparin sodium, porcine 1 UNT/ML Prefilled Syringe",SCD
1362029,J1642,"3 ML heparin sodium, porcine 1 UNT/ML Prefilled Syringe",SCD
1362030,J1642,"5 ML heparin sodium, porcine 1 UNT/ML Prefilled Syringe",SCD
1362048,J1642,"1 ML heparin sodium, porcine 10 UNT/ML Prefilled Syringe",SCD
1362052,J1642,"2 ML heparin sodium, porcine 10 UNT/ML Prefilled Syringe",SCD
1362054,J1642,"3 ML heparin sodium, porcine 10 UNT/ML Prefilled Syringe",SCD
1362055,J1642,"5 ML heparin sodium, porcine 10 UNT/ML Prefilled Syringe",SCD
1362057,J1642,"1 ML heparin sodium, porcine 100 UNT/ML Prefilled Syringe",SCD
1362059,J1642,"10 ML heparin sodium, porcine 100 UNT/ML Prefilled Syringe",SCD
1362060,J1642,"2 ML heparin sodium, porcine 100 UNT/ML Prefilled Syringe",SCD
1362061,J1642,"2.5 ML heparin sodium, porcine 100 UNT/ML Prefilled Syringe",SCD
1362062,J1642,"3 ML heparin sodium, porcine 100 UNT/ML Prefilled Syringe",SCD
1362063,J1642,"5 ML heparin sodium, porcine 100 UNT/ML Prefilled Syringe",SCD
1362065,J1642,"3 ML heparin sodium, porcine 2 UNT/ML Prefilled Syringe",SCD
1362935,J1642,"heparin sodium, porcine 2 UNT/ML Injectable Solution",SCD
1658690,J1642,"1000 ML heparin sodium, porcine 2 UNT/ML Injection",SCD
1658691,J1642,"heparin sodium, porcine 2 UNT/ML Injection",SCD
1658692,J1642,"500 ML heparin sodium, porcine 2 UNT/ML Injection",SCD
1658707,J1642,"1 ML heparin sodium, porcine 10 UNT/ML Injection",SCD
1658719,J1642,"1 ML heparin sodium, porcine 100 UNT/ML Injection",SCD
1361029,J1644,"heparin sodium, porcine 10 UNT/ML Injectable Solution",SCD
1361048,J1644,"heparin sodium, porcine 100 UNT/ML Injectable Solution",SCD
1361226,J1644,"heparin sodium, porcine 1000 UNT/ML Injectable Solution",SCD
1361568,J1644,"5 ML heparin sodium, porcine 2000 UNT/ML Injection",SCD
1361574,J1644,"heparin sodium, porcine 20000 UNT/ML Injectable Solution",SCD
1361577,J1644,"10 ML heparin sodium, porcine 2500 UNT/ML Injection",SCD
1361594,J1644,"heparin sodium, porcine 25000 UNT/ML Injectable Solution",SCD
1361607,J1644,"500 ML heparin sodium, porcine 40 UNT/ML Injection",SCD
1361609,J1644,"heparin sodium, porcine 40000 UNT/ML Injectable Solution",SCD
1361615,J1644,"heparin sodium, porcine 5000 UNT/ML Injectable Solution",SCD
1361760,J1644,"heparin sodium, bovine 5000 UNT/ML Injectable Solution",SCD
1361853,J1644,"0.5 ML heparin sodium, porcine 10000 UNT/ML Cartridge",SCD
1362822,J1644,"heparin sodium, porcine 7500 UNT/ML Injectable Solution",SCD
1362830,J1644,"heparin sodium, bovine 1000 UNT/ML Injectable Solution",SCD
1362831,J1644,"heparin sodium, porcine 10000 UNT/ML Injectable Solution",SCD
1362833,J1644,"heparin sodium, bovine 10000 UNT/ML Injectable Solution",SCD
1362837,J1644,"heparin sodium, porcine 12500 UNT/ML Injectable Solution",SCD
1658634,J1644,"0.5 ML heparin sodium, porcine 10000 UNT/ML Injection",SCD
1658637,J1644,"1 ML heparin sodium, porcine 10000 UNT/ML Injection",SCD
1658647,J1644,"2 ML heparin sodium, porcine 1000 UNT/ML Injection",SCD
1658659,J1644,"1 ML heparin sodium, porcine 1000 UNT/ML Injection",SCD
1658717,J1644,"250 ML heparin sodium, porcine 100 UNT/ML Injection",SCD
1659195,J1644,"500 ML heparin sodium, porcine 50 UNT/ML Injection",SCD
1659196,J1644,"heparin sodium, porcine 50 UNT/ML Injection",SCD
1659197,J1644,"250 ML heparin sodium, porcine 50 UNT/ML Injection",SCD
1659260,J1644,"1 ML heparin sodium, porcine 5000 UNT/ML Cartridge",SCD
1659263,J1644,"1 ML heparin sodium, porcine 5000 UNT/ML Injection",SCD
1798389,J1644,"1 ML heparin sodium, porcine 5000 UNT/ML Prefilled Syringe",SCD
978725,J1645,0.2 ML Dalteparin Sodium 12500 UNT/ML Prefilled Syringe,SCD
978736,J1645,0.3 ML Dalteparin Sodium 25000 UNT/ML Prefilled Syringe,SCD
978740,J1645,0.5 ML Dalteparin Sodium 25000 UNT/ML Prefilled Syringe,SCD
978744,J1645,0.6 ML Dalteparin Sodium 25000 UNT/ML Prefilled Syringe,SCD
978746,J1645,0.72 ML Dalteparin Sodium 25000 UNT/ML Prefilled Syringe,SCD
978759,J1645,Dalteparin Sodium 10000 UNT/ML Injectable Solution,SCD
978777,J1645,Dalteparin Sodium 25000 UNT/ML Injectable Solution,SCD
854228,J1650,0.3 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe,SCD
854235,J1650,0.4 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe,SCD
854238,J1650,0.6 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe,SCD
854241,J1650,0.8 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe,SCD
854245,J1650,0.8 ML Enoxaparin sodium 150 MG/ML Prefilled Syringe,SCD
854248,J1650,1 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe,SCD
854252,J1650,1 ML Enoxaparin sodium 150 MG/ML Prefilled Syringe,SCD
854255,J1650,Enoxaparin sodium 100 MG/ML Injectable Solution,SCD
1359510,J1652,Fondaparinux sodium 12.5 MG/ML Prefilled Syringe,SCD
861356,J1652,0.8 ML Fondaparinux sodium 12.5 MG/ML Prefilled Syringe,SCD
861360,J1652,0.5 ML Fondaparinux sodium 5 MG/ML Prefilled Syringe,SCD
861363,J1652,0.4 ML Fondaparinux sodium 12.5 MG/ML Prefilled Syringe,SCD
861365,J1652,0.6 ML Fondaparinux sodium 12.5 MG/ML Prefilled Syringe,SCD
978713,J1655,Tinzaparin sodium 20000 UNT/ML Injectable Solution,SCD
978717,J1655,Tinzaparin sodium 10000 UNT/ML Injectable Solution,SCD
1037328,J1700,hydrocortisone acetate 50 MG/ML Injectable Suspension,SCD
238754,J1700,Hydrocortisone 25 MG/ML Injectable Suspension,SCD
1037338,J1710,Hydrocortisone sodium phosphate 50 MG/ML Injectable Solution,SCD
1037338,J1720,Hydrocortisone sodium phosphate 50 MG/ML Injectable Solution,SCD
1738586,J1720,Hydrocortisone 1000 MG Injection,SCD
1738590,J1720,Hydrocortisone 250 MG Injection,SCD
1738594,J1720,Hydrocortisone 500 MG Injection,SCD
238755,J1720,Hydrocortisone 100 MG Injection,SCD
1087964,J1729,hydroxyprogesterone caproate (USP) 250 MG/ML Injectable Solution,SCD
1796690,J1729,1 ML hydroxyprogesterone caproate (USP) 250 MG/ML Injection,SCD
2000011,J1729,1.1 ML hydroxyprogesterone caproate (USP) 250 MG/ML Auto-Injector,SCD
204474,J1730,Diazoxide 15 MG/ML Injectable Solution,SCD
904952,J1740,3 ML ibandronic acid 1 MG/ML Prefilled Syringe,SCD
904955,J1740,3 ML ibandronic acid 1 MG/ML Injection,SCD
1747294,J1741,2 ML Ibuprofen 10 MG/ML Injection,SCD
854183,J1741,8 ML Ibuprofen 100 MG/ML Injection,SCD
979120,J1742,10 ML ibutilide fumarate 0.1 MG/ML Injection,SCD
644104,J1743,3 ML idursulfase 2 MG/ML Injection,SCD
1148141,J1744,3 ML icatibant 10 MG/ML Prefilled Syringe,SCD
310994,J1745,infliximab 100 MG Injection,SCD
2043317,J1746,1.33 ML ibalizumab-uiyk 150 MG/ML Injection,SCD
311144,J1750,2 ML Iron-Dextran Complex 50 MG/ML Injection,SCD
1741264,J1756,iron sucrose 20 MG/ML Injection,SCD
1726257,J1786,imiglucerase 200 UNT Injection,SCD
1726266,J1786,imiglucerase 400 UNT Injection,SCD
282485,J1790,2 ML Droperidol 2.5 MG/ML Injection,SCD
856443,J1800,1 ML Propranolol Hydrochloride 1 MG/ML Injection,SCD
243774,J1810,Droperidol 2.5 MG/ML / Fentanyl 0.05 MG/ML Injectable Solution,SCD
242120,J1815,Insulin Lispro 100 UNT/ML Injectable Solution,SCD
245265,J1815,"insulin human, isophane 50 UNT/ML / Regular Insulin, Human 50 UNT/ML Injectable Suspension",SCD
249220,J1815,"Regular Insulin, Human 500 UNT/ML Injectable Solution",SCD
259111,J1815,"Insulin Lispro 25 UNT/ML / Insulin, Protamine Lispro, Human 75 UNT/ML Injectable Suspension",SCD
260265,J1815,"Insulin Lispro 50 UNT/ML / Insulin, Protamine Lispro, Human 50 UNT/ML Injectable Suspension",SCD
311028,J1815,"insulin human, isophane 100 UNT/ML Injectable Suspension",SCD
311034,J1815,"Regular Insulin, Human 100 UNT/ML Injectable Solution",SCD
311040,J1815,"Insulin, Aspart, Human 100 UNT/ML Injectable Solution",SCD
311041,J1815,Insulin Glargine 100 UNT/ML Injectable Solution,SCD
311048,J1815,"insulin human, isophane 70 UNT/ML / Regular Insulin, Human 30 UNT/ML Injectable Suspension",SCD
351297,J1815,"Insulin, Aspart Protamine, Human 70 UNT/ML / Insulin, Aspart, Human 30 UNT/ML Injectable Suspension",SCD
484322,J1815,insulin detemir 100 UNT/ML Injectable Solution,SCD
485210,J1815,"Insulin, Glulisine, Human 100 UNT/ML Injectable Solution",SCD
1652239,J1817,3 ML Insulin Lispro 200 UNT/ML Pen Injector,SCD
242120,J1817,Insulin Lispro 100 UNT/ML Injectable Solution,SCD
153323,J1826,Interferon beta-1a 0.03 MG Injection,SCD
198360,J1830,interferon beta-1b 0.3 MG Injection,SCD
1608811,J1833,isavuconazonium sulfate 372 MG Injection,SCD
239201,J1840,Kanamycin 250 MG/ML Injectable Solution,SCD
311214,J1840,Kanamycin 333 MG/ML Injectable Solution,SCD
239202,J1850,Kanamycin 37.5 MG/ML Injectable Solution,SCD
1665459,J1885,2 ML Ketorolac Tromethamine 30 MG/ML Injection,SCD
1665461,J1885,1 ML Ketorolac Tromethamine 30 MG/ML Injection,SCD
1665679,J1885,1 ML Ketorolac Tromethamine 30 MG/ML Cartridge,SCD
1665682,J1885,2 ML Ketorolac Tromethamine 30 MG/ML Cartridge,SCD
860092,J1885,1 ML Ketorolac Tromethamine 15 MG/ML Injection,SCD
860096,J1885,Ketorolac Tromethamine 30 MG/ML Injectable Solution,SCD
860113,J1885,1 ML Ketorolac Tromethamine 15 MG/ML Prefilled Syringe,SCD
860114,J1885,1 ML Ketorolac Tromethamine 30 MG/ML Prefilled Syringe,SCD
860115,J1885,2 ML Ketorolac Tromethamine 30 MG/ML Prefilled Syringe,SCD
198397,J1890,Cephalothin 40 MG/ML Injectable Solution,SCD
242787,J1890,Cephalothin 1 MG/ML Injectable Solution,SCD
309117,J1890,Cephalothin 20 MG/ML Injectable Solution,SCD
749811,J1930,0.2 ML lanreotide 300 MG/ML Prefilled Syringe,SCD
749814,J1930,0.5 ML lanreotide 240 MG/ML Prefilled Syringe,SCD
749817,J1930,0.3 ML lanreotide 300 MG/ML Prefilled Syringe,SCD
403822,J1931,5 ML Laronidase 0.58 MG/ML Injection,SCD
1719286,J1940,10 ML Furosemide 10 MG/ML Injection,SCD
1719287,J1940,Furosemide 10 MG/ML Injection,SCD
1719290,J1940,2 ML Furosemide 10 MG/ML Injection,SCD
1719291,J1940,4 ML Furosemide 10 MG/ML Injection,SCD
727574,J1940,10 ML Furosemide 10 MG/ML Prefilled Syringe,SCD
727575,J1940,4 ML Furosemide 10 MG/ML Prefilled Syringe,SCD
1673269,J1942,1.6 ML aripiprazole lauroxil 276 MG/ML Prefilled Syringe,SCD
1673277,J1942,2.4 ML aripiprazole lauroxil 276 MG/ML Prefilled Syringe,SCD
1673279,J1942,3.2 ML aripiprazole lauroxil 276 MG/ML Prefilled Syringe,SCD
1925262,J1942,3.9 ML aripiprazole lauroxil 273 MG/ML Prefilled Syringe,SCD
200322,J1945,lepirudin 50 MG/ML Injectable Solution,SCD
1115447,J1950,1 ML Leuprolide Acetate 11.25 MG/ML Prefilled Syringe,SCD
1115457,J1950,1 ML Leuprolide Acetate 3.75 MG/ML Prefilled Syringe,SCD
1115472,J1950,1.5 ML Leuprolide Acetate 7.5 MG/ML Prefilled Syringe,SCD
545844,J1950,Leuprolide Acetate 3.75 MG/ML Injectable Suspension,SCD
1193358,J1953,100 ML Levetiracetam 10 MG/ML Injection,SCD
1193360,J1953,100 ML Levetiracetam 15 MG/ML Injection,SCD
1193362,J1953,100 ML Levetiracetam 5 MG/ML Injection,SCD
647121,J1953,5 ML Levetiracetam 100 MG/ML Injection,SCD
1791371,J1955,5 ML Levocarnitine 200 MG/ML Injection,SCD
1791374,J1955,Levocarnitine 200 MG/ML Injection,SCD
1665497,J1956,50 ML Levofloxacin 5 MG/ML Injection,SCD
1665507,J1956,100 ML Levofloxacin 5 MG/ML Injection,SCD
1665515,J1956,150 ML Levofloxacin 5 MG/ML Injection,SCD
1665517,J1956,20 ML Levofloxacin 25 MG/ML Injection,SCD
1665518,J1956,Levofloxacin 25 MG/ML Injection,SCD
1665519,J1956,30 ML Levofloxacin 25 MG/ML Injection,SCD
311300,J1960,Levorphanol 2 MG/ML Injectable Solution,SCD
1047916,J1980,1 ML Hyoscyamine Sulfate 0.5 MG/ML Injection,SCD
905525,J1990,Chlordiazepoxide Hydrochloride 50 MG/ML Injectable Solution,SCD
1010033,J2001,Lidocaine Hydrochloride 10 MG/ML Injectable Solution,SCD
1010671,J2001,Lidocaine Hydrochloride 20 MG/ML Injectable Solution,SCD
1010793,J2001,Lidocaine Hydrochloride 200 MG/ML Injectable Solution,SCD
1010844,J2001,5 ML Lidocaine Hydrochloride 40 MG/ML Injection,SCD
1010900,J2001,Lidocaine Hydrochloride 5 MG/ML Injectable Solution,SCD
1011093,J2001,2 ML Lidocaine Hydrochloride 50 MG/ML Injection,SCD
1011342,J2001,Lidocaine Hydrochloride 100 MG/ML Injectable Solution,SCD
1012019,J2001,Lidocaine Hydrochloride 2 MG/ML Injectable Solution,SCD
1012066,J2001,5 ML Lidocaine Hydrochloride 10 MG/ML Prefilled Syringe,SCD
1012068,J2001,5 ML Lidocaine Hydrochloride 20 MG/ML Prefilled Syringe,SCD
1737343,J2001,50 ML Lidocaine Hydrochloride 5 MG/ML Injection,SCD
1737346,J2001,Lidocaine Hydrochloride 5 MG/ML Injection,SCD
1737562,J2001,30 ML Lidocaine Hydrochloride 10 MG/ML Injection,SCD
1737564,J2001,Lidocaine Hydrochloride 10 MG/ML Injection,SCD
1737566,J2001,5 ML Lidocaine Hydrochloride 10 MG/ML Injection,SCD
1737568,J2001,2 ML Lidocaine Hydrochloride 10 MG/ML Injection,SCD
1737636,J2001,20 ML Lidocaine Hydrochloride 15 MG/ML Injection,SCD
1737638,J2001,Lidocaine Hydrochloride 15 MG/ML Injection,SCD
1737723,J2001,250 ML Lidocaine Hydrochloride 8 MG/ML Injection,SCD
1737724,J2001,Lidocaine Hydrochloride 8 MG/ML Injection,SCD
1737742,J2001,250 ML Lidocaine Hydrochloride 4 MG/ML Injection,SCD
1737743,J2001,Lidocaine Hydrochloride 4 MG/ML Injection,SCD
1737744,J2001,500 ML Lidocaine Hydrochloride 4 MG/ML Injection,SCD
1737757,J2001,2 ML Lidocaine Hydrochloride 20 MG/ML Injection,SCD
1737759,J2001,Lidocaine Hydrochloride 20 MG/ML Injection,SCD
1737761,J2001,5 ML Lidocaine Hydrochloride 20 MG/ML Injection,SCD
1737763,J2001,10 ML Lidocaine Hydrochloride 20 MG/ML Injection,SCD
239212,J2010,Lincomycin 300 MG/ML Injectable Solution,SCD
1662281,J2020,linezolid 2 MG/ML Injection,SCD
1662285,J2020,300 ML linezolid 2 MG/ML Injection,SCD
1665188,J2060,1 ML Lorazepam 2 MG/ML Injection,SCD
1665326,J2060,1 ML Lorazepam 4 MG/ML Injection,SCD
238100,J2060,Lorazepam 2 MG/ML Injectable Solution,SCD
238101,J2060,Lorazepam 4 MG/ML Injectable Solution,SCD
763028,J2060,1 ML Lorazepam 2 MG/ML Cartridge,SCD
763029,J2060,1 ML Lorazepam 4 MG/ML Cartridge,SCD
311450,J2150,50 ML Mannitol 250 MG/ML Injection,SCD
604806,J2170,mecasermin 10 MG/ML Injectable Solution,SCD
1665685,J2175,1 ML Meperidine Hydrochloride 100 MG/ML Injection,SCD
1665697,J2175,1 ML Meperidine Hydrochloride 50 MG/ML Injection,SCD
861447,J2175,Meperidine Hydrochloride 10 MG/ML Injectable Solution,SCD
861459,J2175,Meperidine Hydrochloride 100 MG/ML Injectable Solution,SCD
861463,J2175,Meperidine Hydrochloride 50 MG/ML Injectable Solution,SCD
861476,J2175,1 ML Meperidine Hydrochloride 25 MG/ML Injection,SCD
861482,J2175,1 ML Meperidine Hydrochloride 75 MG/ML Injection,SCD
1720601,J2182,mepolizumab 100 MG Injection,SCD
1722934,J2185,meropenem 500 MG Injection,SCD
1722939,J2185,meropenem 1000 MG Injection,SCD
1945218,J2186,meropenem 1000 MG / Vaborbactam 1000 MG Injection,SCD
996828,J2210,1 ML Methylergonovine Maleate 0.2 MG/ML Injection,SCD
1244063,J2212,0.4 ML Methylnaltrexone bromide 20 MG/ML Prefilled Syringe,SCD
979113,J2212,0.6 ML Methylnaltrexone bromide 20 MG/ML Injection,SCD
861379,J2248,MICAFUNGIN SODIUM 50 MG Injection,SCD
861383,J2248,MICAFUNGIN SODIUM 100 MG Injection,SCD
106517,J2250,Midazolam 2 MG/ML Injectable Solution,SCD
1551393,J2250,2 ML Midazolam 5 MG/ML Prefilled Syringe,SCD
